2024-02-03 08:34:03.649 INFO  org.testng.internal.Utils - [TestNG] Running:
2024-02-03 08:35:38.292 INFO  BaseTest - Page context: Base URL opened.
2024-02-03 08:35:38.758 INFO  BaseTest - ?

tests.NavigationTest.testNavigation(4)   ----   PASS	 Run Time: 0 min 0 sec 462 ms

2024-02-03 08:35:38.772 INFO  BaseTest - Page closed.
2024-02-03 08:35:38.814 INFO  BaseTest - Tracing stopped
2024-02-03 08:35:38.823 INFO  BaseTest - Context closed.
2024-02-03 08:35:38.826 INFO  BaseTest - RUN tests.NavigationTest.testNavigation
2024-02-03 08:35:38.834 INFO  BaseTest - Context created.
2024-02-03 08:35:38.837 INFO  BaseTest - Tracing started
2024-02-03 08:35:38.971 INFO  BaseTest - Page created.
2024-02-03 08:35:40.027 INFO  BaseTest - Page context: Base URL opened.
2024-02-03 08:35:40.436 INFO  BaseTest - ?

tests.NavigationTest.testNavigation(5)   ----   PASS	 Run Time: 0 min 0 sec 404 ms

2024-02-03 08:35:40.449 INFO  BaseTest - Page closed.
2024-02-03 08:35:40.500 INFO  BaseTest - Tracing stopped
2024-02-03 08:35:40.504 INFO  BaseTest - Context closed.
2024-02-03 08:35:40.508 INFO  BaseTest - RUN tests.NavigationTest.testNavigation
2024-02-03 08:35:40.515 INFO  BaseTest - Context created.
2024-02-03 08:35:40.517 INFO  BaseTest - Tracing started
2024-02-03 08:35:40.654 INFO  BaseTest - Page created.
2024-02-03 08:35:41.765 INFO  BaseTest - Page context: Base URL opened.
2024-02-03 08:35:42.155 INFO  BaseTest - ?

tests.NavigationTest.testNavigation(6)   ----   PASS	 Run Time: 0 min 0 sec 386 ms

2024-02-03 08:35:42.162 INFO  BaseTest - Page closed.
2024-02-03 08:35:42.230 INFO  BaseTest - Tracing stopped
2024-02-03 08:35:42.235 INFO  BaseTest - Context closed.
2024-02-03 08:35:42.459 INFO  BaseTest - Browser closed.
2024-02-03 08:35:42.469 INFO  BaseTest - Playwright closed.
2024-02-03 08:35:42.673 INFO  BaseTest - Browser closed.
2024-02-03 08:35:42.690 INFO  BaseTest - Playwright closed.
2024-02-03 08:37:10.281 INFO  BaseTest - Playwright created.
2024-02-03 08:37:10.284 INFO  BaseTest - Browser CHROMIUM BrowserImpl@3c1e3314 launched.

2024-02-03 08:37:10.286 INFO  BaseTest - Playwright created.
2024-02-03 08:37:10.287 INFO  BaseTest - Browser CHROMIUM BrowserImpl@13c612bd launched.

2024-02-03 08:37:10.339 INFO  BaseTest - RUN tests.HomeTest.testLogOut
2024-02-03 08:37:10.364 INFO  BaseTest - Context created.
2024-02-03 08:37:10.373 INFO  BaseTest - Tracing started
2024-02-03 08:37:10.595 INFO  BaseTest - Page created.
2024-02-03 08:37:11.852 INFO  BaseTest - Page context: Base URL opened.
2024-02-03 08:37:12.579 INFO  BaseTest - ?

tests.HomeTest.testLogOut   ----   PASS	 Run Time: 0 min 0 sec 651 ms

2024-02-03 08:37:12.606 INFO  BaseTest - Page closed.
2024-02-03 08:37:12.677 INFO  BaseTest - Tracing stopped
2024-02-03 08:37:12.682 INFO  BaseTest - Context closed.
2024-02-03 08:37:12.689 INFO  BaseTest - RUN tests.Login.LoginTest.testLogin
2024-02-03 08:37:12.698 INFO  BaseTest - Context created.
2024-02-03 08:37:12.703 INFO  BaseTest - Tracing started
2024-02-03 08:37:12.909 INFO  BaseTest - Page created.
2024-02-03 08:37:14.002 INFO  BaseTest - ?

tests.Login.LoginTest.testLogin(1)   ----   PASS	 Run Time: 0 min 0 sec 700 ms

2024-02-03 08:37:14.012 INFO  BaseTest - Page closed.
2024-02-03 08:37:14.080 INFO  BaseTest - Tracing stopped
2024-02-03 08:37:14.086 INFO  BaseTest - Context closed.
2024-02-03 08:37:14.089 INFO  BaseTest - RUN tests.Login.LoginTest.testLogin
2024-02-03 08:37:14.096 INFO  BaseTest - Context created.
2024-02-03 08:37:14.099 INFO  BaseTest - Tracing started
2024-02-03 08:37:14.300 INFO  BaseTest - Page created.
2024-02-03 08:37:15.417 INFO  BaseTest - ?

tests.Login.LoginTest.testLogin(2)   ----   PASS	 Run Time: 0 min 0 sec 705 ms

2024-02-03 08:37:15.427 INFO  BaseTest - Page closed.
2024-02-03 08:37:15.478 INFO  BaseTest - Tracing stopped
2024-02-03 08:37:15.491 INFO  BaseTest - Context closed.
2024-02-03 08:37:15.494 INFO  BaseTest - RUN tests.Login.LoginTest.testLogin
2024-02-03 08:37:15.502 INFO  BaseTest - Context created.
2024-02-03 08:37:15.505 INFO  BaseTest - Tracing started
2024-02-03 08:37:15.682 INFO  BaseTest - Page created.
2024-02-03 08:37:16.880 INFO  BaseTest - ?

tests.Login.LoginTest.testLogin(3)   ----   PASS	 Run Time: 0 min 0 sec 822 ms

2024-02-03 08:37:16.888 INFO  BaseTest - Page closed.
2024-02-03 08:37:16.951 INFO  BaseTest - Tracing stopped
2024-02-03 08:37:16.957 INFO  BaseTest - Context closed.
2024-02-03 08:37:16.960 INFO  BaseTest - RUN tests.Login.LoginTest.testLogin
2024-02-03 08:37:16.966 INFO  BaseTest - Context created.
2024-02-03 08:37:16.969 INFO  BaseTest - Tracing started
2024-02-03 08:37:17.126 INFO  BaseTest - Page created.
2024-02-03 08:37:18.405 INFO  BaseTest - ?

tests.Login.LoginTest.testLogin(4)   ----   PASS	 Run Time: 0 min 0 sec 889 ms

2024-02-03 08:37:18.416 INFO  BaseTest - Page closed.
2024-02-03 08:37:18.483 INFO  BaseTest - Tracing stopped
2024-02-03 08:37:18.487 INFO  BaseTest - Context closed.
2024-02-03 08:37:18.489 INFO  BaseTest - RUN tests.Login.LoginTest.testLogin
2024-02-03 08:37:18.497 INFO  BaseTest - Context created.
2024-02-03 08:37:18.500 INFO  BaseTest - Tracing started
2024-02-03 08:37:18.664 INFO  BaseTest - Page created.
2024-02-03 08:37:20.331 INFO  BaseTest - ?

tests.Login.LoginTest.testLogin(5)   ----   PASS	 Run Time: 0 min 1 sec 253 ms

2024-02-03 08:37:20.336 INFO  BaseTest - Page closed.
2024-02-03 08:37:20.385 INFO  BaseTest - Tracing stopped
2024-02-03 08:37:20.405 INFO  BaseTest - Context closed.
2024-02-03 08:37:20.409 INFO  BaseTest - RUN tests.Login.LoginTest.testLoginAPI
2024-02-03 08:37:20.419 INFO  BaseTest - Context created.
2024-02-03 08:37:20.421 INFO  BaseTest - Tracing started
2024-02-03 08:37:20.584 INFO  BaseTest - Page created.
2024-02-03 08:37:21.605 INFO  BaseTest - API: 'Log in' status 200
2024-02-03 08:37:21.729 INFO  BaseTest - API: 'Check' status 200
2024-02-03 08:37:21.735 INFO  BaseTest - ?

tests.Login.LoginTest.testLoginAPI   ----   PASS	 Run Time: 0 min 0 sec 782 ms

2024-02-03 08:37:21.757 INFO  BaseTest - Page closed.
2024-02-03 08:37:21.982 INFO  BaseTest - Tracing stopped
2024-02-03 08:37:21.986 INFO  BaseTest - Context closed.
